56505 0 346 222 568 0.391
34115 1 18 12 31 0.387
59705 21 92 70 183 0.383
12512 0 35 21 56 0.375
43806 11 21 17 49 0.347
49403 59 724 395 1178 0.335
51005 0 34 14 48 0.292
21008 25 73 39 137 0.285
52413 0 8 3 11 0.273
42110 4 16 7 27 0.259
35006 1 60 21 82 0.256
47311 0 16 5 21 0.238
28100 0 27 8 35 0.229
17104 11 147 45 203 0.222
33600 0 7 2 9 0.222
57009 168 312 129 609 0.212
57614 8 122 34 164 0.207
27715 4 259 66 329 0.201
35212 4 16 5 25 0.2
35915 0 4 1 5 0.2
39413 0 16 4 20 0.2
42415 6 27 8 41 0.195
35903 1 129 31 161 0.193
52005 118 2202 554 2874 0.193
36804 1 20 5 26 0.192
43115 0 21 5 26 0.192
41615 0 13 3 16 0.188
33807 6 16 5 27 0.185
56412 0 31 7 38 0.184
57907 9 71 18 98 0.184
48909 2 119 27 148 0.182
57810 0 9 2 11 0.182
11806 5 87 20 112 0.179
53006 5 155 35 195 0.179
10401 4 89 20 113 0.177
25611 1 1209 260 1470 0.177
11915 1 70 15 86 0.174
46415 2 23 5 30 0.167
19304 17 49 13 79 0.165
46602 101 1138 243 1482 0.164
44603 28 112 27 167 0.162
10112 13 87 19 119 0.16
33803 11 141 29 181 0.16
36606 0 37 7 44 0.159
46005 7 25 6 38 0.158
47814 2 397 75 474 0.158
16113 88 471 103 662 0.156
47710 36 630 122 788 0.155
35511 52 333 70 455 0.154
27209 10 29 7 46 0.152
37414 3 25 5 33 0.152
43802 77 899 175 1151 0.152
50910 22 62 15 99 0.152
29605 107 387 88 582 0.151
16401 0 23 4 27 0.148
43310 14 560 100 674 0.148
59814 2 108 19 129 0.147
37101 6 54 10 70 0.143
33202 3 52 9 64 0.141
29906 97 475 93 665 0.14
14010 5 26 5 36 0.139
25305 2 60 10 72 0.139
46710 0 983 159 1142 0.139
25304 7 18 4 29 0.138
11211 0 19 3 22 0.136
24313 280 1375 261 1916 0.136
44805 41 821 135 997 0.135
50200 8 24 5 37 0.135
55205 10 118 20 148 0.135
19110 1 1189 183 1373 0.133
31313 99 1545 249 1893 0.132
27210 5 69 11 85 0.129
28014 26 35 9 70 0.129
39908 5 104 16 125 0.128
43015 5 36 6 47 0.128
21405 17 45 9 71 0.127
24312 28 20 7 55 0.127
57007 0 354 51 405 0.126
16003 0 7 1 8 0.125
27810 21 119 20 160 0.125
36201 4 3 1 8 0.125
53304 9 33 6 48 0.125
38200 478 1971 346 2795 0.124
47003 265 1272 217 1754 0.124
42907 5 109 16 130 0.123
42210 14 118 18 150 0.12
46606 373 1105 201 1679 0.12
52702 3 19 3 25 0.12
57600 29 66 13 108 0.12
48010 190 519 96 805 0.119
42103 31 36 9 76 0.118
56103 0 120 16 136 0.118
23708 0 98 13 111 0.117
29900 0 640 85 725 0.117
57914 25 142 22 189 0.116
47510 57 82 18 157 0.115
28109 23 16 5 44 0.114
44609 0 39 5 44 0.114
21806 23 24 6 53 0.113
48710 4 91 12 107 0.112
12208 0 16 2 18 0.111
24213 2 30 4 36 0.111
44612 0 80 10 90 0.111
40303 12 93 13 118 0.11
23400 16 50 8 74 0.108
27102 48 215 32 295 0.108
38414 36 932 116 1084 0.107
40314 3 72 9 84 0.107
24901 0 17 2 19 0.105
28607 97 74 20 191 0.105
41214 2 15 2 19 0.105
47310 0 213 25 238 0.105
49715 11 185 23 219 0.105
58901 0 17 2 19 0.105
12501 21 39 7 67 0.104
23705 6 37 5 48 0.104
26909 126 711 97 934 0.104
28613 0 43 5 48 0.104
13802 423 1073 172 1668 0.103
32203 0 35 4 39 0.103
42715 36 225 30 291 0.103
55801 4 48 6 58 0.103
56508 67 1193 144 1404 0.103
14805 4 23 3 30 0.1
25508 3 15 2 20 0.1
27201 0 9 1 10 0.1
31004 7 629 71 707 0.1
39607 25 29 6 60 0.1
23012 33 49 9 91 0.099
12503 191 944 124 1259 0.098
18502 20 17 4 41 0.098
46901 3 43 5 51 0.098
59001 98 931 112 1141 0.098
42315 4 98 11 113 0.097
57109 9 19 3 31 0.097
11803 3 16 2 21 0.095
15913 3 16 2 21 0.095
57508 3 16 2 21 0.095
38304 1 994 102 1097 0.093
38410 41 299 35 375 0.093
37304 20 236 26 282 0.092
16207 0 10 1 11 0.091
30103 90 341 43 474 0.091
30815 3 7 1 11 0.091
38900 0 20 2 22 0.091
55012 6 14 2 22 0.091
57312 8 32 4 44 0.091
20713 26 217 24 267 0.09
41101 11 30 4 45 0.089
41400 0 41 4 45 0.089
43714 33 110 14 157 0.089
37902 3 174 17 194 0.088
27215 6 57 6 69 0.087
40104 1 20 2 23 0.087
40107 1 83 8 92 0.087
50702 1 20 2 23 0.087
21914 15 197 20 232 0.086
44712 75 213 27 315 0.086
45812 4 28 3 35 0.086
13215 25 276 28 329 0.085
35213 12 31 4 47 0.085
36805 5 49 5 59 0.085
30314 753 1959 250 2962 0.084
34504 48 126 16 190 0.084
10210 13 9 2 24 0.083
19913 0 111 10 121 0.083
23000 24 64 8 96 0.083
26313 2 42 4 48 0.083
32004 4 29 3 36 0.083
38113 23 198 20 241 0.083
46307 2 20 2 24 0.083
46603 8 25 3 36 0.083
49000 6 27 3 36 0.083
18403 1 77 7 85 0.082
18913 0 169 15 184 0.082
